Instance,cbo_sum,wmc_sum,dit_sum,rfc_sum,lcom_sum,totalMethods_sum,staticMethods_sum,publicMethods_sum,privateMethods_sum,protectedMethods_sum,defaultMethods_sum,abstractMethods_sum,finalMethods_sum,synchronizedMethods_sum,totalFields_sum,staticFields_sum,publicFields_sum,privateFields_sum,protectedFields_sum,defaultFields_sum,finalFields_sum,synchronizedFields_sum,nosi_sum,loc_sum,returnQty_sum,loopQty_sum,comparisonsQty_sum,tryCatchQty_sum,parenthesizedExpsQty_sum,stringLiteralsQty_sum,numbersQty_sum,assignmentsQty_sum,mathOperationsQty_sum,variablesQty_sum,maxNestedBlocks_sum,anonymousClassesQty_sum,subClassesQty_sum,lambdasQty_sum,uniqueWordsQty_sum,modifiers_sum,cbo_max,wmc_max,dit_max,rfc_max,lcom_max,totalMethods_max,staticMethods_max,publicMethods_max,privateMethods_max,protectedMethods_max,defaultMethods_max,abstractMethods_max,finalMethods_max,synchronizedMethods_max,totalFields_max,staticFields_max,publicFields_max,privateFields_max,protectedFields_max,defaultFields_max,finalFields_max,synchronizedFields_max,nosi_max,loc_max,returnQty_max,loopQty_max,comparisonsQty_max,tryCatchQty_max,parenthesizedExpsQty_max,stringLiteralsQty_max,numbersQty_max,assignmentsQty_max,mathOperationsQty_max,variablesQty_max,maxNestedBlocks_max,anonymousClassesQty_max,subClassesQty_max,lambdasQty_max,uniqueWordsQty_max,modifiers_max,cbo_std,wmc_std,dit_std,rfc_std,lcom_std,totalMethods_std,staticMethods_std,publicMethods_std,privateMethods_std,protectedMethods_std,defaultMethods_std,abstractMethods_std,finalMethods_std,synchronizedMethods_std,totalFields_std,staticFields_std,publicFields_std,privateFields_std,protectedFields_std,defaultFields_std,finalFields_std,synchronizedFields_std,nosi_std,loc_std,returnQty_std,loopQty_std,comparisonsQty_std,tryCatchQty_std,parenthesizedExpsQty_std,stringLiteralsQty_std,numbersQty_std,assignmentsQty_std,mathOperationsQty_std,variablesQty_std,maxNestedBlocks_std,anonymousClassesQty_std,subClassesQty_std,lambdasQty_std,uniqueWordsQty_std,modifiers_std,cbo_mean,wmc_mean,dit_mean,rfc_mean,lcom_mean,totalMethods_mean,staticMethods_mean,publicMethods_mean,privateMethods_mean,protectedMethods_mean,defaultMethods_mean,abstractMethods_mean,finalMethods_mean,synchronizedMethods_mean,totalFields_mean,staticFields_mean,publicFields_mean,privateFields_mean,protectedFields_mean,defaultFields_mean,finalFields_mean,synchronizedFields_mean,nosi_mean,loc_mean,returnQty_mean,loopQty_mean,comparisonsQty_mean,tryCatchQty_mean,parenthesizedExpsQty_mean,stringLiteralsQty_mean,numbersQty_mean,assignmentsQty_mean,mathOperationsQty_mean,variablesQty_mean,maxNestedBlocks_mean,anonymousClassesQty_mean,subClassesQty_mean,lambdasQty_mean,uniqueWordsQty_mean,modifiers_mean,Label
apache-storm_1.1.1,13675,27066,3097,23667,117111,13332,1528,10868,1235,390,0,98,34,75,6074,2429,968,4222,204,0,3305,0,5068,206141,9264,1831,2158,1035,1396,13948,9834,22247,2838,17605,1413,368,1468,0,99956,81111,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,309,309,308,62,18,0,309,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1178,1025,13675,27066,3097,23667,117111,13332,1528,10868,1235,390,0,98,34,75,6074,2429,968,4222,204,0,3305,0,5068,206141,9264,1831,2158,1035,1396,13948,9834,22247,2838,17605,1413,368,1468,0,99956,81111,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,309,309,308,62,18,0,309,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1178,1025,euclidean
apache-storm_1.1.2,13930,27294,3120,24140,117459,13488,1530,10990,1248,391,0,99,41,75,6109,2417,980,4264,200,0,3334,0,5235,208192,9317,1860,2185,1106,1399,14129,10091,22551,2933,17931,1438,373,1474,0,101880,82211,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,311,311,310,62,18,0,311,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1187,1025,13930,27294,3120,24140,117459,13488,1530,10990,1248,391,0,99,41,75,6109,2417,980,4264,200,0,3334,0,5235,208192,9317,1860,2185,1106,1399,14129,10091,22551,2933,17931,1438,373,1474,0,101880,82211,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,311,311,310,62,18,0,311,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1187,1025,cosine
apache-storm_1.1.3,13974,27385,3128,24221,118054,13522,1549,11006,1263,392,0,99,41,75,6117,2423,984,4267,201,0,3339,0,5311,208626,9336,1864,2189,1112,1404,14179,10112,22591,2940,17969,1443,377,1475,0,102245,82215,188,550,228,372,12513,162,152,147,29,13,0,12,13,7,313,313,312,62,18,0,313,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025,13974,27385,3128,24221,118054,13522,1549,11006,1263,392,0,99,41,75,6117,2423,984,4267,201,0,3339,0,5311,208626,9336,1864,2189,1112,1404,14179,10112,22591,2940,17969,1443,377,1475,0,102245,82215,188,550,228,372,12513,162,152,147,29,13,0,12,13,7,313,313,312,62,18,0,313,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025,cosine
apache-storm_1.1.4,13975,27391,3128,24209,118196,13524,1551,11010,1262,392,0,99,41,73,6122,2430,984,4272,201,0,3344,0,5319,208676,9335,1865,2189,1112,1404,14181,10133,22600,2937,17976,1444,377,1475,0,102425,82215,188,550,228,375,12637,163,153,148,29,13,0,12,13,7,313,313,312,62,18,0,313,0,148,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025,13975,27391,3128,24209,118196,13524,1551,11010,1262,392,0,99,41,73,6122,2430,984,4272,201,0,3344,0,5319,208676,9335,1865,2189,1112,1404,14181,10133,22600,2937,17976,1444,377,1475,0,102425,82215,188,550,228,375,12637,163,153,148,29,13,0,12,13,7,313,313,312,62,18,0,313,0,148,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025,cosine
apache-storm_1.2.0,14345,28032,3194,24958,119489,13964,1589,11303,1340,433,0,115,41,75,6317,2509,1027,4410,212,0,3445,0,5441,212546,9574,1902,2229,1139,1417,14600,10215,23160,2993,18467,1491,377,1486,0,104836,86341,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025,14345,28032,3194,24958,119489,13964,1589,11303,1340,433,0,115,41,75,6317,2509,1027,4410,212,0,3445,0,5441,212546,9574,1902,2229,1139,1417,14600,10215,23160,2993,18467,1491,377,1486,0,104836,86341,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025,cosine
apache-storm_1.2.1,14346,28032,3197,24954,119489,13964,1589,11303,1340,433,0,115,41,75,6317,2509,1027,4410,212,0,3445,0,5441,212559,9574,1902,2229,1139,1417,14600,10215,23160,2993,18467,1491,377,1487,0,104841,86341,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025,14346,28032,3197,24954,119489,13964,1589,11303,1340,433,0,115,41,75,6317,2509,1027,4410,212,0,3445,0,5441,212559,9574,1902,2229,1139,1417,14600,10215,23160,2993,18467,1491,377,1487,0,104841,86341,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025,cosine
apache-storm_1.2.2,14420,28156,3211,25105,120059,14006,1621,11320,1360,434,0,115,41,75,6324,2519,1031,4411,213,0,3451,0,5552,213363,9604,1917,2239,1148,1427,14710,10241,23287,3014,18573,1504,385,1493,0,105454,86348,188,550,228,372,12475,162,152,147,29,13,0,12,13,7,317,317,316,62,18,0,317,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1213,1025,14420,28156,3211,25105,120059,14006,1621,11320,1360,434,0,115,41,75,6324,2519,1031,4411,213,0,3451,0,5552,213363,9604,1917,2239,1148,1427,14710,10241,23287,3014,18573,1504,385,1493,0,105454,86348,188,550,228,372,12475,162,152,147,29,13,0,12,13,7,317,317,316,62,18,0,317,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1213,1025,cosine
apache-storm_1.2.3,13993,28568,2814,25108,123998,14092,1694,11328,1436,437,0,115,41,73,6399,2595,1023,4495,213,0,3526,0,5700,212985,9758,1925,2323,1156,1761,14835,11410,23646,4092,18394,1506,386,1493,0,105071,86347,74,574,26,375,12597,163,153,148,29,14,0,12,13,7,317,317,316,63,18,0,317,0,148,39518,220,48,48,42,71,570,613,392,90,333,7,45,593,0,1213,1025,13993,28568,2814,25108,123998,14092,1694,11328,1436,437,0,115,41,73,6399,2595,1023,4495,213,0,3526,0,5700,212985,9758,1925,2323,1156,1761,14835,11410,23646,4092,18394,1506,386,1493,0,105071,86347,74,574,26,375,12597,163,153,148,29,14,0,12,13,7,317,317,316,63,18,0,317,0,148,39518,220,48,48,42,71,570,613,392,90,333,7,45,593,0,1213,1025,cosine
apache-storm_2.0.0,18412,37991,3409,36049,175982,18343,2447,14446,2045,509,24,132,40,74,8555,3505,1430,6169,303,0,5336,0,10180,278581,12977,2663,2942,1683,2364,19423,15225,33206,5334,26178,2105,376,1743,651,138622,91214,171,800,28,973,13174,194,112,189,111,15,4,14,13,7,250,250,248,107,35,0,250,0,478,43417,310,109,77,69,101,476,732,857,130,733,7,50,658,43,1169,1025,18412,37991,3409,36049,175982,18343,2447,14446,2045,509,24,132,40,74,8555,3505,1430,6169,303,0,5336,0,10180,278581,12977,2663,2942,1683,2364,19423,15225,33206,5334,26178,2105,376,1743,651,138622,91214,171,800,28,973,13174,194,112,189,111,15,4,14,13,7,250,250,248,107,35,0,250,0,478,43417,310,109,77,69,101,476,732,857,130,733,7,50,658,43,1169,1025,cosine
apache-cassandra_3.11.4,25267,45505,4742,50195,242489,22335,4346,17001,3238,833,55,356,125,169,7863,3295,2240,4409,492,0,5768,0,39419,406693,14737,5201,4258,2266,3138,46629,56194,41184,9571,33241,2215,986,2172,1002,191725,204618,187,977,228,782,31306,294,294,286,69,63,10,18,8,16,183,68,180,71,17,0,70,0,1085,45543,434,128,77,58,219,1720,5270,615,338,364,7,51,593,69,1144,1025,25267,45505,4742,50195,242489,22335,4346,17001,3238,833,55,356,125,169,7863,3295,2240,4409,492,0,5768,0,39419,406693,14737,5201,4258,2266,3138,46629,56194,41184,9571,33241,2215,986,2172,1002,191725,204618,187,977,228,782,31306,294,294,286,69,63,10,18,8,16,183,68,180,71,17,0,70,0,1085,45543,434,128,77,58,219,1720,5270,615,338,364,7,51,593,69,1144,1025,euclidean
apache-cassandra_3.2,19845,36640,3896,39482,179293,17786,3506,13747,2422,666,21,297,95,140,6412,2720,1925,3598,381,0,4809,0,27665,322202,12319,4064,3513,1746,2577,31769,35383,31876,7267,25686,1740,786,1854,430,149587,174130,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025,19845,36640,3896,39482,179293,17786,3506,13747,2422,666,21,297,95,140,6412,2720,1925,3598,381,0,4809,0,27665,322202,12319,4064,3513,1746,2577,31769,35383,31876,7267,25686,1740,786,1854,430,149587,174130,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025,euclidean
apache-cassandra_3.2.1,19845,36640,3896,39482,179293,17786,3506,13747,2422,666,21,297,95,140,6412,2720,1925,3598,381,0,4809,0,27665,322200,12319,4064,3513,1746,2577,31769,35383,31876,7267,25686,1740,786,1854,430,149587,174130,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025,19845,36640,3896,39482,179293,17786,3506,13747,2422,666,21,297,95,140,6412,2720,1925,3598,381,0,4809,0,27665,322200,12319,4064,3513,1746,2577,31769,35383,31876,7267,25686,1740,786,1854,430,149587,174130,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025,euclidean
apache-cassandra_3.3,19964,36821,3912,39758,181078,17882,3526,13803,2455,666,21,298,97,140,6456,2747,1929,3612,382,0,4841,0,27835,324141,12353,4098,3525,1756,2596,32108,36030,32143,7340,25916,1747,796,1859,436,150319,174139,187,977,228,688,21529,242,227,239,56,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,320,7,45,593,35,1056,1025,19964,36821,3912,39758,181078,17882,3526,13803,2455,666,21,298,97,140,6456,2747,1929,3612,382,0,4841,0,27835,324141,12353,4098,3525,1756,2596,32108,36030,32143,7340,25916,1747,796,1859,436,150319,174139,187,977,228,688,21529,242,227,239,56,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,320,7,45,593,35,1056,1025,euclidean
apache-cassandra_3.4,21509,39127,4217,42393,195359,19024,3700,14607,2635,738,25,327,111,140,6860,2876,2026,3836,427,0,5138,0,31026,345478,13117,4373,3816,1878,2779,34339,42025,34959,7833,27916,1882,912,1976,497,159957,191701,187,977,228,712,23098,257,238,239,59,50,4,15,9,12,161,68,159,71,15,0,70,0,975,45543,434,115,77,58,219,1716,5188,615,356,322,7,45,593,35,1076,1025,21509,39127,4217,42393,195359,19024,3700,14607,2635,738,25,327,111,140,6860,2876,2026,3836,427,0,5138,0,31026,345478,13117,4373,3816,1878,2779,34339,42025,34959,7833,27916,1882,912,1976,497,159957,191701,187,977,228,712,23098,257,238,239,59,50,4,15,9,12,161,68,159,71,15,0,70,0,975,45543,434,115,77,58,219,1716,5188,615,356,322,7,45,593,35,1076,1025,euclidean
apache-cassandra_3.5,21649,39500,4264,42711,198824,19202,3726,14745,2662,742,25,329,111,143,6906,2875,2018,3868,438,0,5155,0,31385,348635,13203,4402,3848,1913,2786,34904,43047,35259,7883,28134,1898,915,1987,503,161165,192740,187,977,228,717,24132,261,238,239,59,50,4,15,9,12,163,68,159,71,15,0,70,0,978,45543,434,115,77,58,219,1716,5204,615,356,322,7,45,593,37,1077,1025,21649,39500,4264,42711,198824,19202,3726,14745,2662,742,25,329,111,143,6906,2875,2018,3868,438,0,5155,0,31385,348635,13203,4402,3848,1913,2786,34904,43047,35259,7883,28134,1898,915,1987,503,161165,192740,187,977,228,717,24132,261,238,239,59,50,4,15,9,12,163,68,159,71,15,0,70,0,978,45543,434,115,77,58,219,1716,5204,615,356,322,7,45,593,37,1077,1025,euclidean
apache-cassandra_3.6,22082,40465,4304,43768,204669,19709,3823,15096,2777,739,37,330,116,135,7150,2948,2102,3982,458,0,5295,0,31999,357810,13533,4499,3939,1970,2845,36690,43386,36121,8092,28866,1939,928,2036,648,165588,192877,187,977,228,732,25195,267,243,239,62,51,10,15,9,12,167,68,163,71,17,0,70,0,978,45543,434,117,77,58,219,1878,5204,615,380,336,7,45,593,50,1098,1025,22082,40465,4304,43768,204669,19709,3823,15096,2777,739,37,330,116,135,7150,2948,2102,3982,458,0,5295,0,31999,357810,13533,4499,3939,1970,2845,36690,43386,36121,8092,28866,1939,928,2036,648,165588,192877,187,977,228,732,25195,267,243,239,62,51,10,15,9,12,167,68,163,71,17,0,70,0,978,45543,434,117,77,58,219,1878,5204,615,380,336,7,45,593,50,1098,1025,euclidean
apache-cassandra_3.7,22217,40639,4313,44048,206091,19810,3851,15173,2799,739,37,333,116,135,7166,2963,2099,4002,460,0,5302,0,32156,358867,13588,4525,3963,1972,2855,36810,43478,36245,8120,28970,1953,928,2035,655,166481,192897,187,977,228,732,25195,267,245,241,62,51,10,16,9,12,168,68,164,71,17,0,70,0,978,45543,434,117,77,58,219,1893,5204,615,381,336,7,45,593,50,1098,1025,22217,40639,4313,44048,206091,19810,3851,15173,2799,739,37,333,116,135,7166,2963,2099,4002,460,0,5302,0,32156,358867,13588,4525,3963,1972,2855,36810,43478,36245,8120,28970,1953,928,2035,655,166481,192897,187,977,228,732,25195,267,245,241,62,51,10,16,9,12,168,68,164,71,17,0,70,0,978,45543,434,117,77,58,219,1893,5204,615,381,336,7,45,593,50,1098,1025,euclidean
